SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,S,,PA,20.9,T10-T11,285.9987503470213,2752,14,8.175645744709218,77.31843967391542,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31843967391542 8.175645744709218, 77.31950350499851 8.17805607856261)"
12,12,S,,PA,20.9,T11-T12,291.3336258827076,1.73,17,8.17805607856261,77.31950350499851,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31950350499851 8.17805607856261, 77.32046306007791 8.180095053381237)"
13,13,S,,PA,20.9,T12-T13,249.16683378215234,1.48,19,8.180095053381237,77.32046306007791,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32046306007791 8.180095053381237, 77.32142262378864 8.182241524455485)"
14,14,T,"30°47'40""LT",PC+3,24.65,T13-T14,259.9848182183066,2.89,20,8.182241524455485,77.32142262378864,GOOD,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"SC LINE, Lt line, Road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32142262378864 8.182241524455485, 77.32135321648035 8.184571860980114)"
15,15,T,"13°20'42""RT",PB,20.85,T14-T15,257.9469471539028,2.78,19,8.184571860980114,77.32135321648035,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32135321648035 8.184571860980114, 77.32164557592947 8.185985255232865)"
16,16,T,"16°38'40""LT",PB,20.85,T15-T16,159.66814804770098,2.34,22,8.185985255232865,77.32164557592947,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32164557592947 8.185985255232865, 77.32125598577392 8.188326187262767)"
17,17,S,,PA+3,23.9,T16-T17,262.5418183318738,1.49,26,8.188326187262767,77.32125598577392,GOOD,AVAILABLE,LT LINE,ROAD,PLIAN LAND,"SC LINE, Lt  line, Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32125598577392 8.188326187262767, 77.32125398196361 8.190445759576411)"
18,18,T,"04°09'30""RT",PB,20.85,T17-T18,234.5142889164375,2.53,27,8.190445759576411,77.32125398196361,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE,  plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32125398196361 8.190445759576411, 77.321230841133 8.192017091548573)"
19,19,T,"12°16'19""RT",PB+3,23.85,T18-T19,173.87434620724144,1.82,27,8.192017091548573,77.321230841133,GOOD,AVAILABLE,,ROAD,PLIAN LAND,"SC LINE, Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.321230841133 8.192017091548573, 77.3214926986779 8.193307341732385)"
20,20,T,"18°48'49""RT",PB+3,23.85,T19-T20,145.64583729715898,2.71,25,8.193307341732385,77.3214926986779,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3214926986779 8.193307341732385, 77.32255451306844 8.194844462023523)"
21,21,S,,PA,20.9,T20-T21,206.45890811733375,1.38,24,8.194844462023523,77.32255451306844,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32255451306844 8.194844462023523, 77.32359219006636 8.196361669759069)"
22,22,S,,PA,20.9,T21-T22,203.13757860138992,1.54,23,8.196361669759069,77.32359219006636,GOOD,AVAILABLE,LT LINE,,PLIAN LAND,"SC LINE,  Lt line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32359219006636 8.196361669759069, 77.3242888996672 8.198085289863762)"
23,23,T,"29°39'55""LT",PC,21.65,T22-T23,205.59084053761146,2.76,23,8.198085289863762,77.3242888996672,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3242888996672 8.198085289863762, 77.32430935080609 8.200096963792667)"
24,24,T,"23°33'54""LT",PB,20.85,T23-T24,222.58809615971063,2.84,22,8.200096963792667,77.32430935080609,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32430935080609 8.200096963792667, 77.32343964398973 8.202139825451056)"
25,25,T,"12°52'57""RT",PB,20.85,T24-T25,245.5176811820681,2.67,21,8.202139825451056,77.32343964398973,GOOD,AVAILABLE,,,,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32343964398973 8.202139825451056, 77.32293505297967 8.204961510288388)"
26,26,T,"05°07'45""RT",PB+3,23.85,T25-T26,317.1135237434656,2.36,24,8.204961510288388,77.32293505297967,GOOD,AVAILABLE,LT LINE,MAIN ROAD,PLIAN LAND,"SC LINE,  main road, Lt line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32293505297967 8.204961510288388, 77.32276238334417 8.206938637610982)"
27,27,T,"09°43'38""LT",PB+6,26.85,T26-T27,219.58037161824825,2.84,27,8.206938637610982,77.32276238334417,GOOD,AVAILABLE,,ODAI (NALA),PLIAN LAND,"SC LINE, Odai(nala) , Plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32276238334417 8.206938637610982, 77.32210859224968 8.209421483409892)"
28,28,T,"22°23'53""RT",PB+6,26.85,T27-T28,284.00310242837986,2.95,31,8.209421483409892,77.32210859224968,GOOD,AVAILABLE,LT LINE,"ROAD -2NOS, RAILWAY TRACK",PLIAN LAND,"SC LINE, Lt Line, Road-2nos, Railway track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32210859224968 8.209421483409892, 77.32224505687627 8.210427287009201)"
29,29,T,"72°51'33""LT",PC,21.65,T28-T29,112.29683568113973,2.37,38,8.210427287009201,77.32224505687627,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32224505687627 8.210427287009201, 77.32145715179395 8.210790655519078)"
30,30,T,"59°46'17""RT",PC,21.65,T29-T30,95.70506512196215,2.9,32,8.210790655519078,77.32145715179395,GOOD,AVAILABLE,"11KV LINE, LT LINE",,PLIAN LAND,"SC LINE,  11kv line, Lt line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32145715179395 8.210790655519078, 77.32129119401452 8.212543099070166)"
31,31,T,"27°34'02""LT",PB,20.85,T30-T31,194.75524968793883,2.82,36,8.212543099070166,77.32129119401452,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32129119401452 8.212543099070166, 77.320328283486 8.214022776728399)"
32,32,T,"21°28'55""LT",PB,20.85,T31-T32,195.110596739398,2.52,28,8.214022776728399,77.320328283486,GOOD,AVAILABLE,,RIVER,PLIAN LAND,"SC LINE, River, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.320328283486 8.214022776728399, 77.3189100582216 8.215032907532954)"
33,33,T,"121°35'27""RT",PC,21.65,T32-T33,192.17117354321908,1.45,26,8.215032907532954,77.3189100582216,GOOD,AVAILABLE,"LT LINE, 33KV LINE",,PLIAN LAND,"lilo, Road, Lt line,33 kv line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3189100582216 8.215032907532954, 77.32128180924603 8.216006803886195)"
34,34,S,,PA,20.9,T33-T34,282.7742339411575,1.86,29,8.216006803886195,77.32128180924603,GOOD,AVAILABLE,LT LINE,"WELL, ROAD",PLIAN LAND,"SC LINE, well Road ,Lt  line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32128180924603 8.216006803886195, 77.32247438157229 8.216541040224435)"
35,35,T,"18°51'42""RT",PB+3,23.85,T34-T35,144.13539790068086,2.84,29,8.216541040224435,77.32247438157229,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32247438157229 8.216541040224435, 77.32368170931058 8.21662828952992)"
36,36,T,"36°09'28""LT",PC,21.65,T35-T36,133.43302797286253,2.64,26,8.21662828952992,77.32368170931058,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32368170931058 8.21662828952992, 77.32495844751021 8.217671886559783)"
37,37,S,,PA,20.9,T36-T37,182.04147860581006,1.33,28,8.217671886559783,77.32495844751021,GOOD,AVAILABLE,LT LINE,CART TRACK,PLIAN LAND,"SC LINE, cart track, Lt  line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32495844751021 8.217671886559783, 77.3270981740142 8.219515515698564)"
38,38,T,"47°04'30""LT",PC,21.65,T37-T38,311.8352335769364,2.53,28,8.219515515698564,77.3270981740142,GOOD,AVAILABLE,,ODAI (NALA),PLIAN LAND,"SC LINE, Odai( nala), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3270981740142 8.219515515698564, 77.3271987563877 8.221706922801719)"
39,39,T,"18°09'28""RT",PB,20.85,T38-T39,242.71702507238683,1.93,32,8.221706922801719,77.3271987563877,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3271987563877 8.221706922801719, 77.32810400632577 8.223849865180854)"
40,40,S,,PA+3,23.9,T39-T40,257.24434737618225,1.42,31,8.223849865180854,77.32810400632577,GOOD,AVAILABLE,,ROAD,PLIAN LAND,"SC LINE,  Road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32810400632577 8.223849865180854, 77.32873801560473 8.22574890097129)"
41,41,T,"07°08'11""RT",PB+3,23.85,T40-T41,221.43332993259708,2.58,34,8.22574890097129,77.32873801560473,GOOD,AVAILABLE,11KV LINE,ROAD,PLIAN LAND,"SC LINE,  house compound wall , road , 11kvline, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32873801560473 8.22574890097129, 77.33004357961106 8.228204054442852)"
42,42,T,"34°02'32""RT",PC+3,24.65,T41-T42,307.4122655099159,2.74,29,8.228204054442852,77.33004357961106,GOOD,AVAILABLE,,CART TRACK,PLIAN LAND,"SC LINE,  cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33004357961106 8.228204054442852, 77.33235765401724 8.229432101250742)"
43,43,T,"13°22'54""RT",PB,20.85,T42-T43,289.00758899725156,2.92,28,8.229432101250742,77.33235765401724,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SC LINE, Agri land,   11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33235765401724 8.229432101250742, 77.33517431094091 8.230176666430763)"
44,44,S,,PA,20.9,T43-T44,321.21591903420773,1.73,30,8.230176666430763,77.33517431094091,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33517431094091 8.230176666430763, 77.33797855987328 8.23085586288387)"
45,45,S,,PA,20.9,T44-T45,318.108333818824,1.84,31,8.23085586288387,77.33797855987328,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33797855987328 8.23085586288387, 77.34027218457346 8.23149491000021)"
46,46,T,"01°59'48""RT",PB+3,23.85,T45-T46,262.52118418338654,2.71,33,8.23149491000021,77.34027218457346,GOOD,AVAILABLE,,MAIN ROAD,PLIAN LAND,"SC LINE,  main road , house, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34027218457346 8.23149491000021, 77.3426630390257 8.232030103050711)"
47,47,T,"14°42'32""RT",PB+3,23.85,T46-T47,270.1080614660856,2.86,33,8.232030103050711,77.3426630390257,GOOD,AVAILABLE,LT LINE-2NOS,POND,PLIAN LAND,"SC LINE,  Lt  line-2nos,Pond,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3426630390257 8.232030103050711, 77.34547131072121 8.231948097311927)"
48,48,S,,PA,20.9,T47-T48,309.6799711653663,1.93,36,8.231948097311927,77.34547131072121,GOOD,AVAILABLE,LT LINE,ODAI (NALA),PLIAN LAND,"SC LINE,  lt line, Odai( nala), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34547131072121 8.231948097311927, 77.34858669739563 8.231819296836022)"
49,49,T,"13°39'26""LT",PB,20.85,T48-T49,343.69566390049835,2.72,38,8.231819296836022,77.34858669739563,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34858669739563 8.231819296836022, 77.35130477729102 8.232321631158323)"
50,50,S,,PA,20.9,T49-T50,304.719501591257,1.67,41,8.232321631158323,77.35130477729102,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE, banana gradan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35130477729102 8.232321631158323, 77.35406074896294 8.232939770959115)"
51,51,T,"15°36'53""RT",PB,20.85,T50-T51,311.38871463336676,2.59,39,8.232939770959115,77.35406074896294,GOOD,AVAILABLE,,,PLIAN LAND,"SC LINE,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35406074896294 8.232939770959115, 77.35508400976907 8.232868406605478)"
52,52,T,"39°31'19""RT",KC(LILO),24,T51-T52,113.06739492887435,2.76,40,8.232868406605478,77.35508400976907,GOOD,AVAILABLE,,,PLIAN LAND,"lilo, DC LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H58)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
